tuple_id,src,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:32 a.m.
2,aa,7:45 p.m.,7:58 p.m.,10:30 p.m.,
3,aa,6:30 p.m.,,7:25 p.m.,
4,aa,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:28 a.m.
5,aa,12:15 p.m.,12:41 p.m.,2:45 p.m.,2:50 p.m.
6,aa,11:25 p.m.,,12/02/2011 6:55 a.m.,
7,aa,7:00 a.m.,7:25 a.m.,9:55 a.m.,9:45 a.m.
8,aa,4:15 p.m.,4:29 p.m.,7:55 p.m.,7:39 p.m.
9,aa,11:50 a.m.,12:12 p.m.,3:50 p.m.,4:09 p.m.
10,aa,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.
11,aa,10:45 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
12,aa,7:55 a.m.,8:04 a.m.,11:05 a.m.,11:01 a.m.
13,aa,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
14,aa,7:30 a.m.,8:04 a.m.,8:00 a.m.,8:06 a.m.
15,aa,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
16,aa,9:05 a.m.,10:10 a.m.,12:35 p.m.,1:27 p.m.
17,aa,11:45 a.m.,12:13 p.m.,2:00 p.m.,2:10 p.m.
18,aa,7:25 a.m.,7:39 a.m.,11:10 a.m.,11:06 a.m.
19,aa,6:45 a.m.,6:57 a.m.,7:45 a.m.,7:40 a.m.
20,aa,11:35 a.m.,11:52 a.m.,2:25 p.m.,2:27 p.m.
21,aa,10:40 a.m.,11:05 a.m.,2:45 p.m.,2:46 p.m.
22,aa,3:35 p.m.,3:36 p.m.,4:00 p.m.,3:33 p.m.
23,aa,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
24,aa,6:45 p.m.,6:55 p.m.,9:10 p.m.,8:53 p.m.
25,aa,12:00 p.m.,12:11 p.m.,3:15 p.m.,3:16 p.m.
26,aa,6:00 a.m.,6:56 a.m.,7:30 a.m.,7:51 a.m.
27,aa,7:10 a.m.,7:30 a.m.,9:35 a.m.,9:31 a.m.
28,aa,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
29,aa,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
30,aa,10:40 a.m.,11:01 a.m.,2:59 p.m.,3:04 p.m.
31,aa,10:40 a.m.,10:54 a.m.,12:55 p.m.,12:50 p.m.
32,aa,11:55 p.m.,,12/02/2011 5:50 a.m.,
33,aa,9:00 p.m.,,12/02/2011 12:15 a.m.,
34,aa,8:25 p.m.,,11:50 p.m.,
35,aa,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
36,aa,8:35 a.m.,8:51 a.m.,11:50 a.m.,11:44 a.m.
37,aa,1:30 p.m.,,3:50 p.m.,
38,aa,8:20 p.m.,8:39 p.m.,9:20 p.m.,
39,aa,2:35 p.m.,2:44 p.m.,4:05 p.m.,3:43 p.m.
40,aa,2:55 p.m.,3:27 p.m.,5:55 p.m.,5:43 p.m.
41,aa,7:15 a.m.,7:22 a.m.,11:35 a.m.,11:06 a.m.
42,aa,12:10 p.m.,12:10 p.m.,2:15 p.m.,1:43 p.m.
43,aa,1:05 p.m.,1:19 p.m.,2:35 p.m.,3:13 p.m.
44,aa,8:35 a.m.,8:56 a.m.,10:40 a.m.,10:16 a.m.
45,aa,3:05 p.m.,3:36 p.m.,6:30 p.m.,6:43 p.m.
46,aa,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
47,aa,4:00 p.m.,4:12 p.m.,6:40 p.m.,6:15 p.m.
48,aa,7:10 a.m.,7:31 a.m.,3:30 p.m.,3:14 p.m.
49,aa,6:00 a.m.,6:10 a.m.,6:40 a.m.,6:19 a.m.
50,aa,7:10 a.m.,7:39 a.m.,10:45 a.m.,11:12 a.m.
51,helloflight,,7:16 a.m.,,9:22 a.m.
52,helloflight,7:00 p.m.,,10:15 p.m.,
53,helloflight,,6:54 a.m.,,9:14 a.m.
54,helloflight,,8:48 a.m.,,11:30 a.m.
55,helloflight,,9:00 a.m.,,9:29 a.m.
56,helloflight,,7:59 p.m.,,10:31 p.m.
57,helloflight,,3:50 p.m.,,5:14 p.m.
58,helloflight,11:25 a.m.,,2:50 p.m.,
59,helloflight,,11:41 a.m.,,4:54 p.m.
60,helloflight,,10:53 a.m.,,11:11 a.m.
61,helloflight,,11:29 p.m.,,12/2/11 6:35 a.m.
62,helloflight,,6:10 a.m.,,7:04 a.m.
63,helloflight,12:30 a.m.,,5:35 a.m.,
64,helloflight,,4:10 p.m.,,6:25 p.m.
65,helloflight,7:35 a.m.,,9:21 a.m.,
66,helloflight,9:45 a.m.,,1:16 p.m.,
67,helloflight,,10:11 a.m.,,1:11 p.m.
68,helloflight,,8:26 a.m.,,9:56 a.m.
69,helloflight,,7:25 a.m.,,9:29 a.m.
70,helloflight,,4:29 p.m.,,7:37 p.m.
71,helloflight,,10:54 a.m.,,1:36 p.m.
72,helloflight,2:30 p.m.,,7:03 p.m.,
73,helloflight,8:05 a.m.,,11:35 a.m.,
74,helloflight,,3:04 p.m.,,4:43 p.m.
75,helloflight,,12:13 p.m.,,4:08 p.m.
76,helloflight,11:40 a.m.,,1:17 p.m.,
77,helloflight,,6:09 a.m.,,8:50 a.m.
78,helloflight,,11:45 a.m.,,5:00 p.m.
79,helloflight,6:00 a.m.,,10:20 a.m.,
80,helloflight,8:40 a.m.,,10:54 a.m.,
81,helloflight,,10:19 a.m.,,11:50 a.m.
82,helloflight,,2:03 p.m.,,3:13 p.m.
83,helloflight,,8:07 a.m.,,1:23 p.m.
84,helloflight,,12:56 p.m.,,3:09 p.m.
85,helloflight,,12:14 p.m.,,1:55 p.m.
86,helloflight,,2:43 p.m.,,5:22 p.m.
87,helloflight,,12:07 p.m.,,1:11 p.m.
88,helloflight,5:25 p.m.,,8:22 p.m.,
89,helloflight,7:10 p.m.,,8:56 p.m.,
90,helloflight,,11:06 a.m.,,2:39 p.m.
91,helloflight,,1:43 p.m.,,5:24 p.m.
92,helloflight,3:35 p.m.,,4:00 p.m.,
93,helloflight,,7:22 a.m.,,10:34 a.m.
94,helloflight,,6:47 p.m.,,7:25 p.m.
95,helloflight,,6:56 p.m.,,8:38 p.m.
96,helloflight,,12:12 p.m.,,3:04 p.m.
97,helloflight,7:15 p.m.,,12/2/11 12:21 a.m.,
98,helloflight,,2:04 p.m.,,7:20 p.m.
99,helloflight,9:15 a.m.,,12:18 p.m.,
100,helloflight,,6:57 a.m.,,7:49 a.m.
101,helloflight,,7:31 a.m.,,9:26 a.m.
102,helloflight,,5:09 p.m.,,7:43 p.m.
103,helloflight,,7:39 a.m.,,10:43 a.m.
104,helloflight,,4:44 p.m.,,6:28 p.m.
105,helloflight,,4:37 p.m.,,7:23 p.m.
106,helloflight,,8:23 p.m.,,9:47 p.m.
107,helloflight,10:25 a.m.,,6:44 p.m.,
108,helloflight,,7:30 a.m.,,10:43 a.m.
